date,product,term,interestRate
2026-09-22T15:43:24.873591,SARON,SARON,0.85
2026-09-22T15:43:24.873591,Fixed,5 years,1.94
2026-09-22T15:43:24.873591,Fixed,10 years,0.85
2026-09-22T19:52:43.082584,SARON,SARON,0.85
2026-09-22T19:52:43.082584,Fixed,5 years,1.79
2026-09-22T19:52:43.082584,Fixed,10 years,1.94
2026-09-23T13:18:37.299870,SARON,SARON,0.85
2026-09-23T13:18:37.299870,Fixed,5 years,1.79
2026-09-23T13:18:37.299870,Fixed,10 years,1.94
2026-09-24T13:08:10.062732,SARON,SARON,0.85
2026-09-24T13:08:10.062732,Fixed,5 years,1.71
2026-09-24T13:08:10.062732,Fixed,10 years,1.88
2026-09-25T13:13:19.514280,SARON,SARON,0.85
2026-09-25T13:13:19.514280,Fixed,5 years,1.71
2026-09-25T13:13:19.514280,Fixed,10 years,1.88
2026-09-26T12:38:54.007619,SARON,SARON,0.85
2026-09-26T12:38:54.007619,Fixed,5 years,1.71
2026-09-26T12:38:54.007619,Fixed,10 years,1.88
